               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024717,             0.02524,           0.0022515,             0.86168,             0.69771,             0.77244,             0.53841,            0.024853,            0.017603,           0.0031357,           0.0050765,           0.0050765,           0.0050765
                  55,            0.024656,            0.024627,           0.0021371,             0.81785,             0.73451,             0.78718,             0.55827,            0.023514,            0.017119,           0.0030405,            0.004936,            0.004936,            0.004936
                  56,            0.024745,             0.02454,           0.0021054,             0.85544,             0.68093,             0.75294,             0.53491,            0.023433,            0.017018,           0.0052011,            0.004796,            0.004796,            0.004796
                  57,            0.022941,            0.024466,           0.0020427,             0.77243,             0.75562,              0.7817,             0.53998,            0.024234,            0.016874,           0.0028997,           0.0046568,           0.0046568,           0.0046568
                  58,            0.024549,            0.024904,           0.0018702,             0.82651,             0.72847,             0.78829,             0.54591,            0.023658,            0.016866,           0.0022613,           0.0045184,           0.0045184,           0.0045184
                  59,            0.023283,            0.024262,           0.0018851,             0.92307,               0.694,             0.78652,             0.53673,             0.02362,              0.0172,           0.0023369,           0.0043809,           0.0043809,           0.0043809
                  60,            0.022977,            0.024302,           0.0017452,             0.90935,             0.69937,             0.80592,             0.57736,            0.023579,            0.017031,           0.0023095,           0.0042445,           0.0042445,           0.0042445
                  61,             0.02295,             0.02357,           0.0019675,             0.93835,             0.69019,               0.798,             0.55322,            0.023461,            0.017361,           0.0038575,           0.0041094,           0.0041094,           0.0041094
                  62,            0.022578,            0.024802,           0.0017267,             0.82731,             0.71347,             0.78809,             0.53755,            0.023643,            0.017319,           0.0024089,           0.0039757,           0.0039757,           0.0039757
                  63,            0.023419,            0.024555,           0.0017753,             0.88032,             0.72015,             0.79243,             0.55844,            0.024794,            0.017747,           0.0022076,           0.0038434,           0.0038434,           0.0038434
                  64,            0.022777,            0.024953,           0.0019189,             0.89014,             0.75705,             0.78899,             0.56093,            0.023186,            0.017298,           0.0025545,           0.0037128,           0.0037128,           0.0037128
                  65,            0.022084,            0.023769,           0.0015744,             0.83033,             0.74097,              0.8016,             0.56925,            0.023237,            0.016985,           0.0022737,            0.003584,            0.003584,            0.003584
                  66,            0.022883,            0.024543,           0.0017522,             0.92569,             0.68778,             0.79962,             0.56066,            0.023239,            0.017093,           0.0026364,            0.003457,            0.003457,            0.003457
                  67,            0.021595,            0.023567,           0.0014123,             0.92629,             0.68531,             0.79472,             0.57233,             0.02307,            0.017054,           0.0027566,           0.0033321,           0.0033321,           0.0033321
                  68,             0.02135,            0.023735,           0.0016652,             0.93352,             0.70578,             0.79619,             0.56573,            0.022961,            0.017013,           0.0034362,           0.0032093,           0.0032093,           0.0032093
                  69,            0.021986,            0.023424,           0.0015896,             0.89347,             0.68614,             0.77227,             0.55542,            0.022618,            0.016843,           0.0021812,           0.0030888,           0.0030888,           0.0030888
                  70,            0.021632,            0.022559,           0.0012538,             0.81749,             0.73569,              0.7828,             0.55456,            0.023147,            0.017054,           0.0022502,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022084,            0.024224,            0.001692,             0.83859,             0.72611,             0.78501,             0.55904,             0.02276,            0.016682,           0.0025147,            0.002855,            0.002855,            0.002855
                  72,            0.021513,            0.023496,           0.0014152,             0.91918,             0.69741,             0.79396,             0.55584,             0.02305,            0.017113,           0.0022691,           0.0027419,           0.0027419,           0.0027419
                  73,            0.021176,            0.023969,           0.0013737,             0.76003,             0.83206,             0.80696,             0.56016,            0.022654,            0.016786,           0.0021708,           0.0026316,           0.0026316,           0.0026316
                  74,            0.021125,            0.024324,           0.0012497,             0.73909,             0.83741,             0.81153,             0.56673,             0.02252,            0.017018,            0.002214,           0.0025241,           0.0025241,           0.0025241
                  75,            0.021368,            0.024187,           0.0015042,             0.80877,             0.72506,             0.78956,             0.54826,            0.022856,            0.016861,            0.002505,           0.0024195,           0.0024195,           0.0024195
                  76,             0.02076,            0.021964,           0.0012414,             0.82468,             0.74851,             0.80845,             0.57814,            0.022689,             0.01703,           0.0024905,            0.002318,            0.002318,            0.002318
                  77,             0.02049,            0.021543,           0.0011314,              0.8564,              0.7269,             0.78996,             0.56539,            0.022634,            0.017061,           0.0035779,           0.0022196,           0.0022196,           0.0022196
                  78,            0.020514,            0.022409,           0.0011781,             0.80388,             0.77501,             0.76795,             0.53965,            0.022949,             0.01679,           0.0023178,           0.0021245,           0.0021245,           0.0021245
                  79,            0.020694,            0.023545,           0.0015239,              0.8128,             0.74762,              0.7876,             0.55614,             0.02295,             0.01717,           0.0024098,           0.0020327,           0.0020327,           0.0020327
                  80,            0.019833,            0.021547,           0.0011937,              0.8803,              0.7487,             0.78807,               0.555,            0.022928,            0.017491,           0.0022181,           0.0019443,           0.0019443,           0.0019443
                  81,            0.019591,            0.021265,           0.0012835,             0.81574,             0.73316,             0.79547,             0.55563,            0.022829,            0.017243,           0.0022014,           0.0018594,           0.0018594,           0.0018594
                  82,            0.019814,            0.021651,           0.0010344,             0.80714,              0.7438,             0.80593,             0.57404,            0.022881,            0.017327,           0.0021566,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019791,            0.021247,            0.001159,             0.77328,             0.73561,             0.79348,             0.55225,            0.022948,            0.017325,           0.0022952,           0.0017005,           0.0017005,           0.0017005
                  84,            0.019919,             0.02196,           0.0012307,             0.83484,               0.751,             0.78964,              0.5558,            0.022802,            0.017123,           0.0020267,           0.0016267,           0.0016267,           0.0016267
                  85,             0.01968,            0.022333,           0.0010136,             0.84535,             0.74879,             0.79865,             0.55846,            0.022787,            0.017283,           0.0020319,           0.0015566,           0.0015566,           0.0015566
                  86,            0.019825,            0.022477,           0.0011432,             0.86988,             0.72196,             0.80212,             0.56816,            0.022679,            0.017314,           0.0019837,           0.0014905,           0.0014905,           0.0014905
                  87,            0.019473,            0.022204,           0.0010299,             0.84276,             0.73596,             0.79815,             0.56365,             0.02277,            0.017614,           0.0018382,           0.0014283,           0.0014283,           0.0014283
                  88,            0.019476,            0.021198,           0.0010525,             0.84129,             0.70713,             0.77229,             0.53943,            0.022897,            0.017257,           0.0026017,           0.0013701,           0.0013701,           0.0013701
                  89,             0.01954,            0.021533,          0.00095818,             0.83243,             0.72493,              0.7938,             0.56101,            0.022482,            0.016998,           0.0024447,            0.001316,            0.001316,            0.001316
                  90,            0.019551,            0.021688,           0.0010799,             0.92194,             0.70326,              0.7987,             0.56183,            0.022633,            0.017352,           0.0031742,            0.001266,            0.001266,            0.001266
                  91,            0.019479,            0.023001,           0.0011991,             0.83994,              0.7252,             0.79729,             0.55514,            0.022828,            0.017623,           0.0024625,           0.0012202,           0.0012202,           0.0012202
                  92,            0.019253,            0.021548,           0.0010665,             0.91703,             0.69984,             0.79016,             0.55513,            0.022631,            0.017686,           0.0018481,           0.0011787,           0.0011787,           0.0011787
                  93,            0.019039,            0.020974,           0.0010117,             0.90487,             0.71134,             0.78898,              0.5507,            0.022894,            0.017312,           0.0018835,           0.0011414,           0.0011414,           0.0011414
                  94,            0.018814,            0.020887,           0.0010857,             0.87987,             0.71415,             0.79656,             0.55687,            0.023046,            0.017681,           0.0019388,           0.0011084,           0.0011084,           0.0011084
                  95,            0.018192,            0.019665,          0.00096247,             0.90336,             0.72493,             0.79884,             0.55498,            0.022816,            0.017801,           0.0017643,           0.0010797,           0.0010797,           0.0010797
                  96,             0.01879,            0.020989,           0.0010325,              0.9214,               0.713,             0.79897,              0.5608,            0.022488,            0.017403,           0.0017909,           0.0010554,           0.0010554,           0.0010554
                  97,            0.019315,             0.02164,          0.00098271,             0.92133,             0.71422,              0.8142,             0.58171,            0.022954,            0.017655,           0.0017951,           0.0010355,           0.0010355,           0.0010355
                  98,             0.01911,               0.022,           0.0011217,             0.90559,             0.71253,             0.80795,             0.57831,             0.02273,            0.017186,           0.0018389,             0.00102,             0.00102,             0.00102
                  99,            0.018978,            0.022581,           0.0010145,             0.89169,              0.7379,             0.79402,             0.56732,            0.022694,            0.017264,           0.0017518,           0.0010089,           0.0010089,           0.0010089
